ROI,Oxy,Trhr,GRP ,CCK,SP ,NMB ,NKB ,Oxo
449.015,0,0,1,0,0,0,0,0
449.016,0,0,0,0,1,0,0,0
449.017,1,0,1,0,0,1,0,0
449.036,1,0,0,0,0,0,0,0
449.061,0,1,0,0,0,0,0,0
449.066,1,0,0,0,0,0,0,0
449.069,1,0,0,0,0,0,0,0
449.079,1,0,1,0,1,0,0,0
449.097,0,0,1,0,1,0,1,0
449.103,0,0,1,0,1,1,0,0
449.106,0,0,1,0,1,0,0,0
449.108,1,0,0,0,1,0,1,1
449.112,1,0,0,0,1,0,1,0
449.113,1,0,0,0,1,0,1,0
449.114,0,1,0,0,0,0,1,0
449.121,0,0,1,0,1,1,1,0
449.124,0,0,0,0,1,1,1,0
449.126,0,1,0,0,0,0,0,0
449.129,1,0,0,0,0,0,0,0
449.13,1,0,0,0,0,0,0,0
449.146,1,0,0,0,0,0,0,0
449.157,0,0,0,0,0,0,1,0
449.164,1,0,0,0,0,0,0,1
449.171,0,0,1,0,1,0,0,0
449.175,0,0,0,0,0,0,0,1
449.193,0,0,0,0,1,0,0,0
449.197,1,0,0,0,0,0,0,1
449.198,1,0,0,0,0,0,0,0
449.203,1,0,0,0,0,0,0,1
449.207,0,0,1,0,0,0,0,0
449.21,0,1,0,0,0,0,1,0
449.212,1,0,0,1,0,0,0,1
449.213,1,0,0,0,0,0,0,1
449.217,0,0,0,0,0,1,0,0
449.219,0,0,1,0,0,1,0,0
449.224,0,0,0,0,0,0,1,0
449.226,0,0,0,0,0,1,0,0
449.23,1,0,0,0,0,0,1,1
449.231,1,0,0,0,0,0,1,0
449.242,1,0,0,0,0,0,0,1
449.245,1,0,0,1,0,0,0,1
449.252,1,0,0,0,0,0,0,1
449.253,1,0,0,0,0,0,1,0
449.254,1,0,0,0,0,0,1,0
449.258,0,1,0,0,0,0,0,0
449.27,0,0,0,0,0,0,0,1
449.272,1,0,0,0,0,0,0,0
449.276,0,0,0,0,1,0,0,0
449.28,0,1,0,0,0,0,0,0
449.285,0,0,1,0,1,0,1,1
449.286,0,0,1,0,0,1,0,1
449.287,0,0,1,0,1,1,1,0
449.288,0,0,1,0,1,0,0,0
449.289,0,0,0,0,1,0,0,0
449.292,0,0,1,1,0,1,0,1
449.294,0,0,1,0,1,1,1,0
449.305,0,0,1,0,1,1,1,1
