ROI,PN,Brush (2 of 3),VF0.16 (any),VF2.0 (any),AirPuff (2of3),Cold (any),Heat (Any),Cut. Input
438.001,0,1,1,1,,1,1,1
438.002,0,1,1,1,,0,1,1
438.003,0,1,1,1,,1,1,1
438.004,0,1,0,0,,0,0,1
438.005,0,1,1,0,,0,1,1
438.006,0,1,0,0,,0,1,1
438.007,0,1,1,0,,1,1,1
438.008,0,0,0,0,,0,0,1
438.009,0,1,1,1,,1,0,1
438.010,0,1,0,1,,0,0,1
438.011,0,0,0,0,,0,0,1
438.012,0,0,0,0,,0,0,1
438.013,0,1,1,1,,0,1,1
438.014,0,1,1,1,,0,0,1
438.015,0,0,1,0,,0,1,1
438.016,0,1,1,1,,1,1,1
438.017,0,0,1,1,,1,1,1
438.018,0,1,1,0,,0,1,1
438.019,0,0,1,1,,0,1,1
438.020,0,0,1,1,,0,1,1
438.021,0,1,0,1,,0,1,1
438.022,0,1,1,1,,1,1,1
438.023,0,1,0,1,,0,0,1
438.024,0,0,0,1,,1,0,1
438.025,0,0,1,0,,1,1,1
438.026,0,1,1,1,,0,1,1
438.027,0,1,1,1,,0,1,1
438.028,0,0,0,0,,0,0,1
438.029,0,0,1,0,,1,1,1
438.030,0,0,0,0,,1,1,1
438.031,0,0,0,0,,1,1,1
438.032,0,1,0,0,,0,0,1
438.033,0,1,0,0,,0,0,1
438.034,0,1,1,1,,1,1,1
438.035,0,0,0,1,,1,1,1
438.036,0,0,0,0,,1,1,1
438.037,0,1,1,0,,0,1,1
438.038,0,1,1,0,,0,1,1
438.039,0,1,0,0,,0,0,1
438.040,0,1,0,0,,0,0,1
438.041,0,1,0,0,,0,0,1
438.042,0,1,1,1,,0,1,1
438.043,0,0,0,0,,1,0,1
438.044,0,1,0,0,,0,1,1
438.045,0,0,0,0,,0,0,1
438.046,0,0,1,0,,0,1,1
438.047,0,1,1,1,,0,1,1
438.048,0,1,1,1,,1,1,1
438.049,0,0,1,1,,1,1,1
438.050,0,1,1,1,,0,1,1
438.051,0,0,0,0,,1,1,1
438.052,0,1,0,1,,1,1,1
438.053,0,0,1,1,,0,1,1
438.054,0,0,1,1,,1,1,1
438.055,0,0,1,1,,1,1,1
438.056,0,0,1,1,,1,0,1
438.057,0,0,1,1,,0,0,1
438.058,0,0,1,1,,0,1,1
438.059,0,0,1,1,,0,0,1
438.060,0,0,1,1,,0,1,1
438.061,0,0,1,0,,0,0,1
438.062,0,0,1,1,,0,1,1
438.063,0,0,1,1,,0,1,1
438.064,0,0,1,0,,0,0,1
438.065,0,0,1,1,,0,1,1
438.066,0,1,1,1,,0,0,1
438.067,0,0,1,1,,1,1,1
438.068,0,0,1,1,,0,0,1
438.069,0,0,1,1,,1,1,1
438.070,0,0,1,0,,1,0,1
438.071,0,0,0,1,,0,1,1
438.072,0,0,0,1,,0,1,1
438.073,0,1,0,1,,1,1,1
438.074,0,0,0,1,,0,1,1
438.075,0,0,0,1,,0,1,1
438.076,0,0,0,1,,0,1,1
438.077,0,0,0,1,,0,0,1
438.078,0,0,0,1,,1,1,1
438.079,0,0,0,1,,0,1,1
438.080,0,0,1,1,,0,0,1
438.081,0,0,0,1,,0,0,1
438.082,0,0,1,1,,0,1,1
438.083,0,0,1,1,,0,0,1
438.084,0,0,0,1,,1,1,1
438.085,0,1,1,1,,0,1,1
438.086,0,0,1,1,,0,0,1
438.087,0,0,1,1,,0,0,1
438.088,0,0,1,1,,0,0,1
438.089,0,0,1,1,,0,0,1
438.090,0,0,0,1,,0,0,1
438.091,0,1,0,1,,0,1,1
438.092,0,0,0,1,,0,0,1
438.093,0,0,0,1,,0,0,1
438.094,0,0,1,1,,0,0,1
438.095,0,0,1,1,,1,1,1
438.096,0,0,1,1,,0,0,1
438.097,0,0,0,1,,0,1,1
438.098,0,1,1,1,,0,0,1
438.099,0,1,0,1,,0,1,1
438.100,0,0,0,1,,0,1,1
438.101,0,0,0,1,,0,0,1
438.102,0,1,0,1,,1,1,1
438.103,0,0,1,1,,0,0,1
438.104,0,0,1,1,,1,0,1
438.105,0,0,0,0,,1,1,1
438.106,0,0,0,0,,1,1,1
438.107,0,0,0,0,,0,1,1
438.108,0,0,0,1,,1,1,1
438.109,0,0,0,1,,0,1,1
438.110,0,1,0,1,,0,1,1
438.111,0,0,0,0,,0,1,1
438.112,0,0,0,0,,0,1,1
438.113,0,0,1,1,,1,1,1
438.114,0,0,1,0,,0,1,1
438.115,0,0,1,1,,1,1,1
438.116,0,1,0,0,,0,0,1
438.117,0,1,1,1,,1,1,1
438.118,0,0,1,1,,1,1,1
438.119,0,0,0,0,,1,0,1
438.120,0,0,1,0,,0,0,1
438.121,0,0,0,0,,1,0,1
438.122,0,0,0,1,,1,1,1
438.123,0,0,0,0,,1,1,1
438.124,0,0,1,0,,0,0,1
438.125,0,0,0,0,,1,0,1
438.126,0,0,0,0,,1,0,1
438.127,0,0,0,0,,0,0,1
438.128,0,0,0,0,,0,1,1
438.129,0,0,0,1,,0,1,1
438.130,0,0,0,0,,0,0,1
438.131,0,0,0,0,,1,1,1
